passenger_name,tpep_pickup_datetime,tpep_dropoff_datetime,payment_method,passenger_count,trip_distance,fare_amount,tip_amount,tolls_amount,passenger_first_name,travel_time,travel_time_sec,total_amount
Amy Larsen,2017-07-26 23:26:50,2017-07-26 23:55:49,Cash,1,14.32,40.5,0.0,0.0,Larsen,0 days 00:28:59,1739.0,40.5
Adrienne Mitchell,2017-10-26 19:43:07,2017-10-26 20:06:02,Cash,1,2.9,15.5,3.45,0.0,Mitchell,0 days 00:22:55,1375.0,18.95
Michael Murphy,2017-03-04 18:19:04,2017-03-04 18:32:13,Card,1,1.7,10.5,1.7,0.0,Murphy,0 days 00:13:09,789.0,12.2
Benjamin Walls,2017-11-05 01:35:25,2017-11-05 01:43:39,Cash,5,2.69,9.5,0.0,0.0,Walls,0 days 00:08:14,494.00000000000006,9.5
Steven Valdez,2017-02-24 11:24:50,2017-02-24 11:29:18,Card,1,0.6,5.0,0.0,0.0,Valdez,0 days 00:04:28,268.0,5.0
Craig Cook,2017-02-23 08:04:57,2017-02-23 08:18:48,Cash,1,2.11,11.5,2.46,0.0,Cook,0 days 00:13:51,831.0,13.96
Amanda Burns MD,2017-02-12 18:45:41,2017-02-12 18:48:58,Cash,4,0.4,4.0,0.72,0.0,MD,0 days 00:03:17,197.0,4.72
Gregory Stevens,2017-12-08 12:21:55,2017-12-08 12:30:38,Cash,1,1.28,7.5,5.0,0.0,Stevens,0 days 00:08:43,523.0,12.5
Jennifer Allen,2017-09-15 19:09:51,2017-09-15 19:23:06,Card,3,1.23,9.5,2.26,0.0,Allen,0 days 00:13:15,795.0,11.76
Heather Leonard,2017-02-25 07:41:32,2017-02-25 07:50:26,Cash,1,2.0,9.0,1.95,0.0,Leonard,0 days 00:08:54,534.0,10.95
Dr. Christy Velasquez,2017-12-08 07:59:11,2017-12-08 08:15:32,Cash,1,4.52,16.5,2.0,0.0,Velasquez,0 days 00:16:21,981.0000000000001,18.5
Jasmin Oconnell,2017-04-26 11:18:27,2017-04-26 11:24:59,Cash,2,1.12,6.5,1.82,0.0,Oconnell,0 days 00:06:32,392.0,8.32
Jasmine Hull,2017-02-15 17:30:24,2017-02-15 17:35:24,Card,1,0.59,5.0,1.36,0.0,Hull,0 days 00:05:00,300.0,6.36
Grace Duran,2017-08-14 17:15:32,2017-08-14 17:25:28,Card,1,1.5,8.5,2.55,0.0,Duran,0 days 00:09:56,596.0,11.05
Lauren Wilson,2017-09-05 15:10:20,2017-09-05 15:25:25,Cash,4,1.71,10.5,0.0,0.0,Wilson,0 days 00:15:05,905.0,10.5
Amber Wise,2017-01-13 02:37:24,2017-01-13 03:17:34,Card,4,8.69,31.5,6.56,0.0,Wise,0 days 00:40:10,2410.0,38.06
Daniel Thompson,2017-03-11 04:46:32,2017-03-11 04:57:02,Card,6,2.69,11.0,0.0,0.0,Thompson,0 days 00:10:30,630.0,11.0
Kayla Navarro,2017-04-27 07:26:57,2017-04-27 07:28:21,Cash,1,0.42,3.5,0.86,0.0,Navarro,0 days 00:01:24,84.0,4.36
Sarah Moore DDS,2017-07-13 08:23:29,2017-07-13 08:47:40,Cash,2,7.37,25.5,0.0,0.0,DDS,0 days 00:24:11,1451.0,25.5
Erin Parker,2017-01-05 14:56:32,2017-01-05 15:24:31,Cash,2,2.6,17.5,0.0,0.0,Parker,0 days 00:27:59,1679.0,17.5
Cynthia Garcia,2017-03-28 19:10:03,2017-03-28 19:13:20,Cash,1,0.8,4.5,1.26,0.0,Garcia,0 days 00:03:17,197.0,5.76
Eduardo Brown,2017-09-01 09:37:29,2017-09-01 10:00:14,Card,1,2.9,16.0,0.0,0.0,Brown,0 days 00:22:45,1365.0,16.0
Kristen Owens,2017-08-17 22:06:12,2017-08-17 22:32:06,Cash,1,11.07,32.5,6.76,0.0,Owens,0 days 00:25:54,1554.0,39.26
Luis Martin,2017-02-10 11:47:00,2017-02-10 12:09:43,Card,1,2.7,15.5,4.05,0.0,Martin,0 days 00:22:43,1363.0,19.55
Stephen Huffman,2017-03-07 20:19:42,2017-03-07 20:29:08,Cash,2,2.51,10.0,3.39,0.0,Huffman,0 days 00:09:26,566.0,13.39
Aaron Pham,2017-03-18 12:12:18,2017-03-18 12:20:32,Card,1,0.78,7.0,0.0,0.0,Pham,0 days 00:08:14,494.00000000000006,7.0
Michelle Hughes,2017-03-03 08:02:59,2017-03-03 08:05:43,Card,1,0.85,4.5,1.59,0.0,Hughes,0 days 00:02:44,164.0,6.09
Bonnie Henderson,2017-04-26 18:08:41,2017-04-26 18:11:08,Cash,5,0.38,4.0,1.16,0.0,Henderson,0 days 00:02:27,147.0,5.16
Kaitlin Watkins,2017-04-21 15:08:21,2017-04-21 15:18:09,Cash,1,1.15,8.0,1.76,0.0,Watkins,0 days 00:09:48,588.0,9.76
John Reed,2017-02-04 18:04:26,2017-02-04 18:19:15,Card,1,7.16,21.0,0.0,0.0,Reed,0 days 00:14:49,889.0,21.0
John Tucker,2017-03-17 09:17:05,2017-03-17 09:21:34,Card,1,0.7,5.0,1.15,0.0,Tucker,0 days 00:04:29,269.0,6.15
Maria Williams,2017-12-31 13:03:12,2017-12-31 13:06:52,Cash,6,0.71,4.5,0.0,0.0,Williams,0 days 00:03:40,220.0,4.5
Thomas Johnson,2017-12-12 11:12:23,2017-12-12 12:01:01,Cash,1,3.1,28.0,5.76,0.0,Johnson,0 days 00:48:38,2918.0,33.76
Steven Parker,2017-09-03 23:15:56,2017-09-03 23:31:25,Cash,2,2.96,13.0,2.86,0.0,Parker,0 days 00:15:29,929.0000000000001,15.86
Scott Rodriguez,2017-12-13 07:06:10,2017-12-13 07:11:40,Card,1,0.8,5.5,1.0,0.0,Rodriguez,0 days 00:05:30,330.0,6.5
Timothy Payne,2017-08-01 18:09:45,2017-08-01 18:14:05,Card,1,0.96,5.5,0.0,0.0,Payne,0 days 00:04:20,260.0,5.5
Angela Holder,2017-10-10 14:40:11,2017-10-10 14:54:27,Card,4,1.9,10.5,0.0,0.0,Holder,0 days 00:14:16,856.0,10.5
Jennifer Martin,2017-08-05 22:28:06,2017-08-05 22:34:13,Card,4,0.97,6.5,0.0,0.0,Martin,0 days 00:06:07,367.0,6.5
Chris Jones,2017-08-13 03:50:10,2017-08-13 03:53:43,Card,2,0.95,5.0,1.0,0.0,Jones,0 days 00:03:33,213.0,6.0
Kelly Reed,2017-04-25 22:20:43,2017-04-25 22:25:28,Cash,4,1.02,6.0,1.46,0.0,Reed,0 days 00:04:45,285.0,7.46
Stephanie Mcdaniel,2017-05-01 09:42:27,2017-05-01 09:47:29,Cash,1,0.78,5.0,1.0,0.0,Mcdaniel,0 days 00:05:02,302.0,6.0
Daniel Cruz,2017-06-03 18:55:02,2017-06-03 19:03:22,Cash,6,1.16,7.0,1.95,0.0,Cruz,0 days 00:08:20,500.00000000000006,8.95
James Thomas,2017-04-16 02:43:35,2017-04-16 03:04:48,Card,3,4.3,17.5,2.22,0.0,Thomas,0 days 00:21:13,1273.0,19.72
Courtney Taylor,2017-02-25 13:04:27,2017-02-25 13:15:41,Card,1,1.9,9.5,2.55,0.0,Taylor,0 days 00:11:14,674.0,12.05
Vincent Vargas,2017-03-17 22:00:41,2017-03-17 22:22:57,Card,2,11.2,31.5,6.56,0.0,Vargas,0 days 00:22:16,1336.0,38.06
Holly Maldonado,2017-01-10 21:06:58,2017-01-10 21:13:20,Card,1,2.0,8.0,0.0,0.0,Maldonado,0 days 00:06:22,382.0,8.0
Rhonda Harris,2017-11-16 09:31:00,2017-11-16 09:43:17,Card,2,1.02,8.5,1.86,0.0,Harris,0 days 00:12:17,737.0,10.36
John Fisher,2017-10-28 04:16:54,2017-10-28 04:33:06,Card,3,5.11,16.5,5.34,0.0,Fisher,0 days 00:16:12,972.0000000000001,21.84
Amy Edwards,2017-10-13 15:48:39,2017-10-13 15:56:17,Cash,1,0.96,6.5,0.0,0.0,Edwards,0 days 00:07:38,458.00000000000006,6.5
Katherine Briggs,2017-09-20 23:46:44,2017-09-20 23:54:08,Cash,1,1.9,8.0,1.86,0.0,Briggs,0 days 00:07:24,444.0,9.86
Richard Gregory,2017-07-29 13:27:34,2017-07-29 13:36:28,Cash,1,1.6,8.0,1.0,0.0,Gregory,0 days 00:08:54,534.0,9.0
Kristi Ray,2017-09-06 11:37:10,2017-09-06 11:40:44,Card,1,0.4,4.5,0.0,0.0,Ray,0 days 00:03:34,214.0,4.5
Amy Baker,2017-09-28 07:17:44,2017-09-28 07:21:35,Cash,1,0.9,5.0,1.0,0.0,Baker,0 days 00:03:51,231.00000000000003,6.0
Angela Smith,2017-08-18 01:17:32,2017-08-18 01:34:48,Card,1,4.96,17.0,3.66,0.0,Smith,0 days 00:17:16,1036.0,20.66
Karen Carpenter DVM,2017-02-28 18:02:05,2017-02-28 18:13:30,Cash,1,4.9,16.0,5.3,0.0,DVM,0 days 00:11:25,685.0,21.3
Mr. Paul Owens,2017-03-10 18:31:50,2017-03-10 18:58:46,Cash,1,9.6,30.5,0.0,0.0,Owens,0 days 00:26:56,1616.0,30.5
Teresa Phillips,2017-05-06 14:54:22,2017-05-06 15:19:17,Card,1,2.9,17.5,0.0,0.0,Phillips,0 days 00:24:55,1495.0,17.5
Rebecca Graham,2017-07-15 00:28:27,2017-07-15 00:37:09,Cash,2,1.62,8.0,1.0,0.0,Graham,0 days 00:08:42,522.0,9.0
Elizabeth Summers,2017-10-17 14:29:39,2017-10-17 15:00:14,Card,1,13.8,39.0,9.1,5.76,Summers,0 days 00:30:35,1835.0000000000002,53.86
Alyssa Zuniga,2017-02-11 19:09:12,2017-02-11 19:32:20,Cash,1,1.7,14.5,1.0,0.0,Zuniga,0 days 00:23:08,1388.0,15.5
Daniel Thomas,2017-06-23 19:53:53,2017-06-23 20:00:57,Cash,2,0.88,6.5,0.5,0.0,Thomas,0 days 00:07:04,424.0,7.0
Tony Love,2017-03-26 20:06:55,2017-03-26 20:14:43,Cash,1,1.46,7.0,1.24,0.0,Love,0 days 00:07:48,468.00000000000006,8.24
James Ponce,2017-07-27 10:10:04,2017-07-27 10:23:13,Card,1,1.66,10.0,1.2,0.0,Ponce,0 days 00:13:09,789.0,11.2
Kimberly Cole,2017-12-11 20:04:27,2017-12-11 20:16:10,Cash,1,1.63,9.5,2.16,0.0,Cole,0 days 00:11:43,703.0,11.66
Kevin Sosa,2017-11-18 13:04:54,2017-11-18 13:39:53,Card,1,10.0,34.5,7.05,0.0,Sosa,0 days 00:34:59,2099.0,41.55
Dr. Daniel Davidson,2017-03-18 23:41:50,2017-03-18 23:49:21,Cash,1,1.42,7.0,0.0,0.0,Davidson,0 days 00:07:31,451.0,7.0
Angelica Barker,2017-02-07 08:56:08,2017-02-07 09:07:32,Cash,1,0.72,8.0,0.0,0.0,Barker,0 days 00:11:24,684.0,8.0
Crystal Wright,2017-03-31 20:18:22,2017-03-31 20:50:17,Cash,3,9.67,31.0,8.08,0.0,Wright,0 days 00:31:55,1915.0000000000002,39.08
Denise Clements,2017-05-24 20:46:11,2017-05-24 21:02:29,Card,1,2.3,12.5,2.75,0.0,Clements,0 days 00:16:18,978.0000000000001,15.25
Brian West,2017-02-15 20:16:09,2017-02-15 20:39:44,Cash,1,4.7,18.5,3.0,0.0,West,0 days 00:23:35,1415.0,21.5
Harold Myers,2017-09-29 11:38:58,2017-09-29 12:10:34,Cash,1,3.5,19.5,0.0,0.0,Myers,0 days 00:31:36,1896.0000000000002,19.5
Michelle Smith,2017-08-16 09:30:43,2017-08-16 09:46:07,Cash,1,2.7,12.5,0.0,0.0,Smith,0 days 00:15:24,924.0000000000001,12.5
Peter Sanchez,2017-06-13 19:17:33,2017-06-13 19:27:33,Card,2,1.07,8.0,0.0,0.0,Sanchez,0 days 00:10:00,600.0,8.0
Matthew Torres,2017-08-05 15:42:20,2017-08-05 16:00:35,Card,2,2.3,13.0,0.0,0.0,Torres,0 days 00:18:15,1095.0,13.0
Danielle Hall,2017-05-13 20:55:32,2017-05-13 21:20:31,Cash,1,6.93,24.0,0.0,0.0,Hall,0 days 00:24:59,1499.0,24.0
Danielle Hall,2017-04-10 22:17:19,2017-04-10 22:33:30,Cash,6,2.95,13.5,0.0,0.0,Hall,0 days 00:16:11,971.0000000000001,13.5
Nathan Miller,2017-06-03 14:24:57,2017-06-03 15:31:48,Cash,1,18.0,52.0,0.0,0.0,Miller,0 days 01:06:51,4011.0000000000005,52.0
Eric Duarte,2017-11-17 12:01:00,2017-11-17 12:24:22,Card,6,6.25,22.5,4.66,0.0,Duarte,0 days 00:23:22,1402.0,27.16
Angelica Savage,2017-09-28 21:17:50,2017-09-28 21:30:03,Card,1,1.8,9.5,0.0,0.0,Savage,0 days 00:12:13,733.0,9.5
Bradley Wright,2017-04-01 02:56:51,2017-04-01 03:00:35,Card,6,0.63,4.5,1.16,0.0,Wright,0 days 00:03:44,224.0,5.66
Miranda Gilmore,2017-10-21 19:27:11,2017-10-21 19:34:31,Card,2,1.3,7.0,0.0,0.0,Gilmore,0 days 00:07:20,440.0,7.0
Maria Perry,2017-12-29 17:22:05,2017-12-29 17:32:05,Cash,6,3.22,11.5,3.32,0.0,Perry,0 days 00:10:00,600.0,14.82
Edward Jones,2017-09-27 09:10:06,2017-09-27 09:16:56,Cash,2,1.09,6.5,1.0,0.0,Jones,0 days 00:06:50,410.0,7.5
Justin Johnson,2017-07-09 02:27:01,2017-07-09 02:35:16,Card,1,0.79,7.0,0.0,0.0,Johnson,0 days 00:08:15,495.00000000000006,7.0
Ariel Stokes,2017-10-15 01:04:26,2017-10-15 01:09:50,Cash,1,1.1,5.5,1.35,0.0,Stokes,0 days 00:05:24,324.0,6.85
Chase Brewer,2017-06-23 17:55:36,2017-06-23 18:29:34,Cash,1,2.73,20.5,4.46,0.0,Brewer,0 days 00:33:58,2038.0000000000002,24.96
Rodney Martin,2017-06-09 23:53:57,2017-06-10 00:02:51,Card,1,1.9,9.0,0.0,0.0,Martin,0 days 00:08:54,534.0,9.0
Dalton Davis,2017-03-04 16:40:16,2017-03-04 16:56:11,Cash,5,2.85,12.5,1.0,0.0,Davis,0 days 00:15:55,955.0000000000001,13.5
Nicole Boyd,2017-09-08 21:45:59,2017-09-08 22:02:24,Cash,1,1.8,11.5,0.0,0.0,Boyd,0 days 00:16:25,985.0000000000001,11.5
Kelly Williams,2017-04-07 13:53:14,2017-04-07 13:59:27,Card,2,0.83,6.0,0.7,0.0,Williams,0 days 00:06:13,373.0,6.7
Peter Bender,2017-12-22 11:49:37,2017-12-22 12:21:07,Cash,1,4.2,22.0,4.56,0.0,Bender,0 days 00:31:30,1890.0000000000002,26.56
Crystal Henson,2017-12-18 19:21:19,2017-12-18 19:37:07,Card,1,1.6,11.0,0.0,0.0,Henson,0 days 00:15:48,948.0000000000001,11.0
Nathan Barnett,2017-12-06 22:49:28,2017-12-06 22:53:36,Cash,1,0.5,4.5,2.0,0.0,Barnett,0 days 00:04:08,248.00000000000003,6.5
Kimberly Perry,2017-05-19 08:05:49,2017-05-19 08:20:09,Card,1,1.71,10.5,2.26,0.0,Perry,0 days 00:14:20,860.0,12.76
Linda Kaufman,2017-06-22 08:05:33,2017-06-22 08:05:40,Card,1,0.0,20.0,0.0,0.0,Kaufman,0 days 00:00:07,7.0,20.0
Diana Odonnell MD,2017-06-17 00:21:33,2017-06-17 00:26:29,Card,1,1.06,5.5,0.0,0.0,MD,0 days 00:04:56,296.0,5.5
Daniel Miller,2017-03-18 23:23:48,2017-03-18 23:43:44,Cash,2,4.1,17.5,3.75,0.0,Miller,0 days 00:19:56,1196.0,21.25
Tammy Moody,2017-12-12 16:50:38,2017-12-12 16:56:27,Card,1,1.08,6.0,1.17,0.0,Moody,0 days 00:05:49,349.0,7.17
Sara Williamson,2017-11-24 15:17:47,2017-11-24 15:33:57,Card,1,2.6,13.0,0.0,0.0,Williamson,0 days 00:16:10,970.0000000000001,13.0
Tyler Turner,2017-12-29 16:04:10,2017-12-29 16:10:06,Card,1,0.91,6.0,0.0,0.0,Turner,0 days 00:05:56,356.0,6.0
Victor Gomez,2017-07-18 19:11:53,2017-07-18 19:23:35,Cash,1,0.95,8.5,2.0,0.0,Gomez,0 days 00:11:42,702.0,10.5
Adrienne Owens,2017-01-08 02:59:32,2017-01-08 03:04:25,Cash,1,1.71,6.5,1.0,0.0,Owens,0 days 00:04:53,293.0,7.5
David Burke,2017-07-09 03:01:18,2017-07-09 03:11:20,Cash,1,2.62,10.0,0.0,0.0,Burke,0 days 00:10:02,602.0,10.0
John Savage,2017-08-28 11:51:26,2017-08-28 12:20:34,Cash,1,9.0,28.0,0.0,0.0,Savage,0 days 00:29:08,1748.0,28.0
Dawn Bradley,2017-07-17 14:20:31,2017-07-17 14:24:40,Card,1,0.67,4.5,1.06,0.0,Bradley,0 days 00:04:09,249.00000000000003,5.5600000000000005
Scott Olsen,2017-08-16 21:37:16,2017-08-16 21:42:40,Card,2,1.1,6.0,1.45,0.0,Olsen,0 days 00:05:24,324.0,7.45
Erin Allen,2017-12-13 14:05:28,2017-12-13 14:20:29,Card,2,2.14,11.5,0.0,0.0,Allen,0 days 00:15:01,901.0,11.5
Mark Todd,2017-10-18 07:42:38,2017-10-18 07:49:21,Cash,1,1.4,6.5,1.45,0.0,Todd,0 days 00:06:43,403.0,7.95
Lauren Dawson,2017-12-26 23:33:55,2017-12-26 23:38:49,Cash,1,1.0,5.5,0.0,0.0,Dawson,0 days 00:04:54,294.0,5.5
Jeremy Brown,2017-03-15 21:17:04,2017-03-15 21:23:59,Cash,1,1.84,7.5,0.0,0.0,Brown,0 days 00:06:55,415.0,7.5
Angel Hudson,2017-12-12 12:32:11,2017-12-12 12:35:27,Cash,1,0.55,4.0,1.2,0.0,Hudson,0 days 00:03:16,196.0,5.2
Jasmine Young,2017-04-06 02:45:19,2017-04-06 02:47:22,Cash,1,0.3,3.5,0.0,0.0,Young,0 days 00:02:03,123.00000000000001,3.5
Ralph Elliott,2017-04-14 12:49:44,2017-04-14 12:58:24,Card,1,1.39,8.0,2.2,0.0,Elliott,0 days 00:08:40,520.0,10.2
Samuel Hodges,2017-03-03 09:18:43,2017-03-03 09:34:52,Cash,1,1.5,11.0,0.0,0.0,Hodges,0 days 00:16:09,969.0000000000001,11.0
Mary Richmond,2017-02-03 06:24:44,2017-02-03 06:30:49,Cash,1,1.1,6.0,0.0,0.0,Richmond,0 days 00:06:05,365.0,6.0
Jeffrey Allen,2017-03-15 15:42:07,2017-03-15 15:46:27,Card,1,0.5,4.5,1.05,0.0,Allen,0 days 00:04:20,260.0,5.55
Shannon Johns,2017-05-19 14:10:22,2017-05-19 14:28:56,Cash,1,1.57,12.5,2.66,0.0,Johns,0 days 00:18:34,1114.0,15.16
Tony Trevino,2017-09-15 22:13:28,2017-09-15 22:15:57,Cash,2,1.03,5.0,1.26,0.0,Trevino,0 days 00:02:29,149.0,6.26
Barbara Gordon,2017-04-17 12:03:15,2017-04-17 12:40:01,Cash,5,11.51,39.5,0.0,5.76,Gordon,0 days 00:36:46,2206.0,45.26
Danielle Jones,2017-09-01 23:10:27,2017-09-01 23:14:38,Cash,2,0.65,5.0,0.0,0.0,Jones,0 days 00:04:11,251.00000000000003,5.0
Mrs. Cynthia Williams,2017-11-29 11:13:29,2017-11-29 11:47:12,Cash,1,2.8,20.5,3.2,0.0,Williams,0 days 00:33:43,2023.0000000000002,23.7
Julie Collins,2017-01-22 00:35:47,2017-01-22 01:05:47,Cash,2,6.14,24.5,0.0,0.0,Collins,0 days 00:30:00,1800.0,24.5
David Brooks,2017-12-11 10:21:18,2017-12-11 11:14:57,Card,1,15.6,51.5,11.6,5.76,Brooks,0 days 00:53:39,3219.0,68.86
Ivan Cowan,2017-10-24 15:21:41,2017-10-24 15:39:40,Card,1,1.5,12.5,3.95,0.0,Cowan,0 days 00:17:59,1079.0,16.45
Hector Mcdonald,2017-12-04 23:16:21,2017-12-04 23:37:01,Cash,1,7.0,23.0,3.0,0.0,Mcdonald,0 days 00:20:40,1240.0,26.0
Christopher Ford,2017-04-21 23:15:54,2017-04-21 23:27:41,Cash,1,2.6,11.0,3.0,0.0,Ford,0 days 00:11:47,707.0,14.0
Evelyn Willis,2017-04-29 13:29:04,2017-04-29 13:48:15,Card,1,3.1,15.0,1.0,0.0,Willis,0 days 00:19:11,1151.0,16.0
Jonathan Flores,2017-11-11 20:16:16,2017-11-11 20:17:14,Card,1,0.23,52.0,0.0,0.0,Flores,0 days 00:00:58,58.00000000000001,52.0
Rebecca Patterson,2017-04-12 20:13:55,2017-04-12 20:30:59,Cash,1,2.1,12.0,2.65,0.0,Patterson,0 days 00:17:04,1024.0,14.65
Michael Mckinney,2017-08-23 15:26:21,2017-08-23 15:42:56,Card,2,1.97,12.0,0.0,0.0,Mckinney,0 days 00:16:35,995.0000000000001,12.0
Margaret Cook,2017-06-07 07:55:31,2017-06-07 08:10:37,Cash,1,4.67,17.0,3.56,0.0,Cook,0 days 00:15:06,906.0,20.56
Sean Robinson,2017-03-22 22:55:41,2017-03-22 23:18:02,Cash,1,4.31,17.5,3.76,0.0,Robinson,0 days 00:22:21,1341.0,21.259999999999998
Mrs. Sarah Burke MD,2017-06-08 19:27:01,2017-06-08 19:34:50,Cash,1,0.84,6.5,0.0,0.0,MD,0 days 00:07:49,469.00000000000006,6.5
Philip Cameron,2017-10-05 00:02:28,2017-10-05 00:13:38,Card,2,2.34,10.5,2.36,0.0,Cameron,0 days 00:11:10,670.0,12.86
Julia Davis,2017-06-19 01:03:56,2017-06-19 01:07:06,Card,2,1.04,5.0,0.0,0.0,Davis,0 days 00:03:10,190.0,5.0
Brian Jones,2017-04-15 12:08:51,2017-04-15 12:27:40,Cash,6,2.84,14.0,2.96,0.0,Jones,0 days 00:18:49,1129.0,16.96
Tracy Conner,2017-05-31 20:58:40,2017-05-31 21:02:51,Cash,2,0.3,4.5,0.0,0.0,Conner,0 days 00:04:11,251.00000000000003,4.5
Brian Reed,2017-07-15 22:34:32,2017-07-15 23:02:01,Card,1,3.9,19.0,0.0,0.0,Reed,0 days 00:27:29,1649.0,19.0
Nancy Thompson,2017-02-12 15:37:16,2017-02-12 16:03:24,Card,1,5.27,22.0,0.0,0.0,Thompson,0 days 00:26:08,1568.0,22.0
Lacey Thompson,2017-04-20 07:13:18,2017-04-20 07:29:07,Cash,1,3.3,13.5,2.85,0.0,Thompson,0 days 00:15:49,949.0000000000001,16.35
Cynthia White,2017-06-22 14:22:05,2017-06-22 16:07:28,Card,1,16.9,71.5,0.0,0.0,White,0 days 01:45:23,6323.0,71.5
Linda Lopez,2017-08-16 18:31:15,2017-08-16 18:37:37,Cash,1,1.4,6.5,1.65,0.0,Lopez,0 days 00:06:22,382.0,8.15
